,,Central,,West,
Day,Date,Songlist,Recording,Songlist,Recording
1,12/30/2019,https://pastebin.com/fbiWHDcz,,https://pastebin.com/yhZLBR9P,
2,12/31/2019,https://pastebin.com/Y6W66ibA,,https://pastebin.com/WUzr8FXN,
3,1/1/2020,https://pastebin.com/kknFLndz,,https://pastebin.com/Qwx3HGPi,
4,1/2/2020,https://pastebin.com/27RHRPBB,,https://pastebin.com/0W1EBKjb,
5,1/3/2020,https://pastebin.com/N7BmV6WM,,https://pastebin.com/m7uTy1AC,
6,1/4/2020,https://pastebin.com/Y1tj4Ksx,,https://pastebin.com/U9z1qMJ6,
7,1/5/2020,https://pastebin.com/5TUs3RZF,,https://pastebin.com/3NztYSH5 ,
8,1/6/2020,https://pastebin.com/z6AUcwxZ,,https://pastebin.com/kUESjyad ,
9,1/7/2020,https://pastebin.com/m34m6PM0,,https://pastebin.com/3PDjX79F,
10,1/8/2020,https://pastebin.com/hdaXUHCQ,,https://pastebin.com/iGF8CeBz,
11,1/9/2020,https://pastebin.com/80dqqfNU,,https://pastebin.com/L5vmqDbm,
12,1/10/2020,https://pastebin.com/iZnDiy3s,,https://pastebin.com/UgGsTWqG ,
13,1/11/2020,https://pastebin.com/Yz5wBzv6,,https://pastebin.com/Xt4TZTQY,
14,1/12/2020,https://pastebin.com/CG8mUsP6,,https://pastebin.com/76xw1V83,
15,1/13/2020,https://pastebin.com/KmbYXPvc,,https://pastebin.com/3ph8R3nD,
16,1/14/2020,https://pastebin.com/cQSyiCxu,,https://pastebin.com/EsiReVMg,
17,1/15/2020,https://pastebin.com/3rQvxXeq,,https://pastebin.com/uNnpA1ef,
18,1/16/2020,https://pastebin.com/d3MGkraR,,https://pastebin.com/GmqtZnR6,
19,1/17/2020, https://pastebin.com/VBA5R0FD,,https://pastebin.com/d1zBFmph,
20,1/18/2020,https://pastebin.com/wSrhcEm8,,,
21,1/19/2020,https://pastebin.com/S3Z2Ly3z,https://youtu.be/_YU3eF-moSs,https://pastebin.com/rA9pC5Ak,https://youtu.be/iu2bnwKAwGE
22,1/20/2020,https://pastebin.com/eCuENhSW,https://youtu.be/FmTJ8w7ulGE,https://pastebin.com/KFHuBEw8,https://youtu.be/RmYkezxWKiA
23,1/21/2020,,,https://pastebin.com/5kDaPLQb,
24,1/22/2020,https://pastebin.com/dX0w6e1k,,https://pastebin.com/quY5u9AM,https://youtu.be/5z32sZR-_pE
25,1/23/2020,https://pastebin.com/B17aiz5j,,https://pastebin.com/9erq7NZU,https://youtu.be/SIavNWT8LJQ
26,1/24/2020,https://pastebin.com/Pwu44Fup,,https://pastebin.com/L13A5s4k,https://youtu.be/eHxl3U0xU8U
Championship,1/25/2020,https://pastebin.com/rAyfeh9Y,https://youtu.be/M31dfSLIXMA,https://pastebin.com/hwqGzDeQ,https://youtu.be/l8Q0HXTIJgY
