,,East,,Central,,West,
Day,Date,Songlist,Recording,Songlist,Recording,Songlist,Recording
1,9/27/2021,https://gist.github.com/0edce00c4d3598d893d4c961c66a931d,https://youtu.be/0SF_akt7qBc,https://gist.github.com/bf211b9d886f14504f61a5f209297dc8,,https://gist.github.com/468c035a8aabe08727cf2777b735f237,
2,9/28/2021,https://gist.github.com/ee560dc9d1908e02624d4064dbf06b10,https://youtu.be/7ngcOZMzMDA,https://gist.github.com/e27046592c07b0d0cbfa146e33943cb0,,https://gist.github.com/2eec8e2d05b80083a855d0e98b61508d,
3,9/29/2021,https://gist.github.com/8ad6a287943092c9b79080a46bd0edee,https://youtu.be/A0w8xDv0xlI,https://gist.github.com/2730b555707cd1175de94519cb868c12,,https://gist.github.com/cce9efe8471e476c145839ea3a5605ae,
4,9/30/2021,https://gist.github.com/a4470b5a5de12c53dc49e6ecf163486e,https://youtu.be/wEsr_opj7wA,https://gist.github.com/d7092b3a8a4cd72d32077fa2ca205cff,,https://gist.github.com/81c2cee8f67082861941351535ab1c03,
5,10/1/2021,https://gist.github.com/51785b570c7a8fdb95f744fd872c1b45,https://youtu.be/nez7L4mPj9E,https://gist.github.com/eed558969c0ba1da7779a1de6a7da68b,,https://gist.github.com/e1094f8cbc2e034cae7f51246319f7af,
6,10/2/2021,https://gist.github.com/787b917901bddc2909c5ac9b679483b6,https://youtu.be/pkvA7G6DIb4,https://gist.github.com/b326636b2422cf4950434ad2649994d6,https://youtu.be/IOgzSEiSL9Y,https://gist.github.com/b9690f6db54579c20c883ddd6cb10621,https://youtu.be/CAGjav11zic
7,10/3/2021,https://gist.github.com/0a252cea93c8ec34d90657ac0aa6a2bc,https://youtu.be/xoGzPrKHJAE,https://gist.github.com/a1ff93adc26588a25df796c1ca33aba5,https://youtu.be/ShSjSlO1Bv8,https://gist.github.com/d63233fa82e0e3b3bb0441806246351c,https://youtu.be/6KO3binF1II
8,10/4/2021,https://gist.github.com/ef9aa68bd6502e17b863dc085707c8ed,https://youtu.be/GA-gPmNQ1_E,https://gist.github.com/da6c3e671c7119de0f2d2ff4151e8d07,https://youtu.be/RQECfsYB4Zg,https://gist.github.com/3a5226fc01335fff5ea8b2452ccc653f,https://youtu.be/uuxg-qbDnlc
9,10/5/2021,https://gist.github.com/3dd9a878531011cf6f1c7a82c8e0a82e,https://youtu.be/ABEpKTvj7vE,https://gist.github.com/ae82105ae7525f4bc364dff10f25e1a6,https://youtu.be/HbJYMH--95g,https://gist.github.com/53b232555df9adf34f57445286bb46ab,https://youtu.be/h2Sr6iGeo-s
10,10/6/2021,https://gist.github.com/c35385979197c0230d99e66cd35662f6,https://youtu.be/C_CbFtBWtgE,https://gist.github.com/a6d567d819a022303216869484da67c9,https://youtu.be/yzNOaR2vVoQ,https://gist.github.com/68ab424b95e878d3c65fc5da3de6a480,https://youtu.be/CEoeHM7d3iw
