,,East,,Central,,West,,,
Day,Date,Songlist,Recording,Songlist,Recording,Songlist,Recording,,
1,8/30/2021,https://gist.github.com/69e5763856ec2c933542440306301f96,,https://gist.github.com/0ac493603c75d1283c10e721b9574a9d,,https://gist.github.com/8f6e8765096f478a5102d44ad7d85ec9,,,
2,8/31/2021,https://gist.github.com/25e9576afb55949762c75ed847a7fc09,,https://gist.github.com/5fa86012867937707520cec048f89396,,https://gist.github.com/27bc04b4ae0576a7ca389be1090d9110,,,
3,9/1/2021,https://gist.github.com/08055ae186ac0ecff7e35f0c1787f0f3,,https://gist.github.com/c94ed9aac3d9522e0ad33d2c302112e1,,https://gist.github.com/6c46da082936734a7686ca223ca936f6,,,
4,9/2/2021,https://gist.github.com/f5ffb6f462e437e43ea1ce2bfc9644b6,,https://gist.github.com/e8cb3347d8d79fe21114f629c87ebb35,,https://gist.github.com/4012a1396418a652e87baf072e129904,,,
5,9/3/2021,https://gist.github.com/60e82e0abb574905ba36d69dc99e28e2,,https://gist.github.com/c09a8e65bf7206a389d591d44c2fb1b3,,https://gist.github.com/1fd50016687f251f8d07bdc27121d405,,,
6,9/4/2021,https://gist.github.com/9c98801300307779c3efe29061181d13,,https://gist.github.com/05075a5e381eca33fbf02fee50ae3802,,https://gist.github.com/bd631a1a735b0de8ccf8f61d1910dee8,,,
7,9/5/2021,https://gist.github.com/9abdd748d001660d149aeb13e1a5c349,https://youtu.be/sC5D8Y7zIgg,https://gist.github.com/09c701895ec9bc5788a1b1bbbf313435,,https://gist.github.com/4b626f03c3301ca274554a2732bb5ebd,,,https://youtu.be/AuYvFjjcnSk
8,9/6/2021,https://gist.github.com/848282529ea491eed0c6a67cf8894547,https://youtu.be/Q0ZEkROEqDg,https://gist.github.com/e1b534c09612a9330305db513a393e77,https://youtu.be/F0hQaPHuG3s,https://gist.github.com/0f519e1e9d0a46ededfb5ff8d3b58416,,,
9,9/7/2021,https://gist.github.com/77cbcc4f586647b1c7b22fa7834690b6,https://youtu.be/g9BMle6zuCY,https://gist.github.com/8635c2097e6cd7a0e4d104fd7d520ca4,,https://gist.github.com/f7d3bf2dee12e06999f8d096ae673830,,,
10,9/8/2021,https://gist.github.com/9804c6fbacd23e3ad0d82b4a9f109e05,,https://gist.github.com/39390b2303b2059fb53f72858dc0cc2e,,https://gist.github.com/6695137f316de174e281611bb79840e3,,,
11,9/9/2021,https://gist.github.com/966b9ceda2ccf864388c75fa344a37cf,,https://gist.github.com/1d0267ad14698126f931582f124b99f9,,https://gist.github.com/664360e2d6870e28564f40ace295cf33,,,
12,9/10/2021,https://gist.github.com/bf3ee6364103a386183998a71b12c29a,,https://gist.github.com/18fd3b95d9f064e9f7b6de688c92bdd8,,https://gist.github.com/265c835b9b0ac92458fda15b9333a690,,,
13,9/11/2021,https://gist.github.com/e3d00fe7685a067fc1fc23125564c462,,https://gist.github.com/62f46fdf5b754109bc6272afeedc94da,,https://gist.github.com/0475b40f756911732b86fb7f49aebe42,,,
14,9/12/2021,https://gist.github.com/36fe0e92963fba4869c6a91bf586260c,,https://gist.github.com/a098e1b7beef1e9ba38b8ae4aecb7a7d,,https://gist.github.com/6a159caea296673c8266e28312a386c3,,,
15,9/13/2021,https://gist.github.com/dada0266756f1ff722bff7b59d7d2540,,https://gist.github.com/0d4063bf9445aa981ccc15f979e0f139,,https://gist.github.com/75f6030a5a21e3990a2afb8db21f3832,,,
16,9/14/2021,https://gist.github.com/62c5d1091f7a685779f19fd4d536dd97,,https://gist.github.com/7d7d303978c77e4368b7d5d35ada35e4,,https://gist.github.com/c9bb33251de1d2f32420037bc9b1f11f,,,
17,9/15/2021,https://gist.github.com/f1a9ae388cf04e06966a464bdaca589a,,https://gist.github.com/b65c5a023cb3b9e26bf0d1549a68ba41,,https://gist.github.com/a9ee7f52db89454fcfb3adecf30e2430,,,
18,9/16/2021,https://gist.github.com/839766d1487565a86a8d1555d42f72c3,,https://gist.github.com/5b2fa684d9fbcd55da454aa225527a9a,,https://gist.github.com/fdc971719003de2679be64263ae624df,,,
19,9/17/2021,https://gist.github.com/b083b97e8ef5e1ebc77fcedf08a804a8,,https://gist.github.com/76341620936250982458c4494f370d5a,,https://gist.github.com/b0b2081191dd5ee0f5d056e73c66554c,,,
20,9/18/2021,https://gist.github.com/a30f856095d45ce1775d6ee17b62dc74,,https://gist.github.com/e2da2a2521eb18933197db3a4f318e72,,https://gist.github.com/c1684925e4f06a7f364454eeac20e1da,,,
21,9/19/2021,https://gist.github.com/5b072e97382f95f686da5b52adfb4077,,https://gist.github.com/53b9cd1c0743c737052ad3ebc79dcc12,,https://gist.github.com/47fe68cb50d8179238b56b78cb81e2bc,,,
22,9/20/2021,https://gist.github.com/1e221b70ab1b86e9c1530c8090315644,,https://gist.github.com/9d6e4963bff86893e38482fc97e2ded4,,https://gist.github.com/7249f2d306efb7c673ac12030ba404f1,,,
23,9/21/2021,https://gist.github.com/3baf0666802ee679d7900b794e9887e5,,https://gist.github.com/671cf6863171b3b8d7643092a59f8078,,https://gist.github.com/c786f46346589ed1a617f64acb245d56,,,
